text,label
"O atendimento foi péssimo.",ruim
"Gostei muito do produto!",bom
"O serviço foi aceitável.",neutro
"Não recomendo para ninguém.",ruim
"Excelente experiência!",bom
"Achei tudo normal.",neutro
"Horrível, não volto mais.",ruim
"Muito bom, superou minhas expectativas.",bom
"Nada de especial.",neutro
"Fui mal atendido.",ruim
"Produto de ótima qualidade.",bom
"Foi ok, nada demais.",neutro
"Demorou muito para chegar.",ruim
"Recomendo a todos!",bom
"Atendimento razoável.",neutro
"Me decepcionei bastante.",ruim
"Super feliz com a compra!",bom
"Não foi ruim, mas também não foi bom.",neutro
"Péssima qualidade.",ruim
"Tudo perfeito!",bom
"Achei o preço justo.",neutro
"Não gostei do sabor.",ruim
"Muito satisfeito!",bom
"Foi uma experiência comum.",neutro
"Faltou atenção dos funcionários.",ruim
"Voltarei mais vezes.",bom
"Nada a reclamar.",neutro
"Me senti desrespeitado.",ruim
"Amei o atendimento.",bom
"Foi indiferente para mim.",neutro
"Não recomendo, muito ruim.",ruim
"Tudo maravilhoso!",bom
"Achei o ambiente agradável.",neutro
"Fui ignorado pelo garçom.",ruim
"Produto excelente.",bom
"Serviço mediano.",neutro
"Não volto mais.",ruim
"Muito bom mesmo!",bom
"Foi tudo dentro do esperado.",neutro
"Experiência frustrante.",ruim
"Super recomendo!",bom
"Achei o atendimento normal.",neutro
"Não gostei do atendimento.",ruim
"Produto maravilhoso.",bom
"Nada demais.",neutro
"Demorou para ser atendido.",ruim
"Gostei bastante!",bom
"Foi razoável.",neutro
"Me senti mal atendido.",ruim
"Tudo ótimo!",bom
"Serviço ok.",neutro
"Não gostei da comida.",ruim
"Muito bom o serviço.",bom
"Achei tudo comum.",neutro
"Atendimento ruim.",ruim
"Produto muito bom.",bom
"Nada de diferente.",neutro
"Não gostei do ambiente.",ruim
"Excelente serviço.",bom
"Foi tudo normal.",neutro
"Me decepcionei.",ruim
"Gostei do atendimento.",bom
"Achei o serviço aceitável.",neutro
"Não gostei do produto.",ruim
"Muito satisfeito com a compra.",bom
"Foi uma experiência neutra.",neutro
"Atendimento deixou a desejar.",ruim
"Produto ótimo.",bom
"Nada especial.",neutro
"Não gostei do serviço.",ruim
"Muito bom atendimento.",bom
"Achei tudo ok.",neutro
"Fui mal recebido.",ruim
"Produto excelente!",bom
"Serviço normal.",neutro
"Não gostei da experiência.",ruim
"Gostei muito!",bom
"Foi tudo aceitável.",neutro
"Atendimento ruim demais.",ruim
"Produto maravilhoso!",bom
"Nada fora do comum.",neutro
"Não gostei do preço.",ruim
"Muito bom mesmo.",bom
"Achei o atendimento razoável.",neutro
"Fui mal tratado.",ruim
"Produto de qualidade.",bom
"Serviço aceitável.",neutro
"Não gostei do local.",ruim
"Gostei do serviço.",bom
"Foi tudo tranquilo.",neutro
"Atendimento deixou a desejar.",ruim
"Produto ótimo!",bom
"Nada de especial.",neutro
"Não gostei do atendimento.",ruim
"Muito bom o produto.",bom
"Achei tudo normal.",neutro
"Fui mal atendido.",ruim
"Produto excelente.",bom
"Serviço mediano.",neutro
"Não volto mais.",ruim
"Muito bom mesmo!",bom
"Foi tudo dentro do esperado.",neutro
"Experiência frustrante.",ruim
"Super recomendo!",bom
"Achei o atendimento normal.",neutro
"Não gostei do atendimento.",ruim
"Produto maravilhoso.",bom
"Nada demais.",neutro
"Demorou para ser atendido.",ruim
"Gostei bastante!",bom
"Foi razoável.",neutro
"Me senti mal atendido.",ruim
"Tudo ótimo!",bom
"Serviço ok.",neutro
"Não gostei da comida.",ruim
"Muito bom o serviço.",bom
"Achei tudo comum.",neutro
"Atendimento ruim.",ruim
"Produto muito bom.",bom
"Nada de diferente.",neutro
"Não gostei do ambiente.",ruim
"Excelente serviço.",bom
"Foi tudo normal.",neutro
"Me decepcionei.",ruim
"Gostei do atendimento.",bom
"Achei o serviço aceitável.",neutro
"Não gostei do produto.",ruim
"Muito satisfeito com a compra.",bom
"Foi uma experiência neutra.",neutro
"Atendimento deixou a desejar.",ruim
"Produto ótimo.",bom
"Nada especial.",neutro
"Não gostei do serviço.",ruim
"Muito bom atendimento.",bom
"Achei tudo ok.",neutro
"Fui mal recebido.",ruim
"Produto excelente!",bom
"Serviço normal.",neutro
"Não gostei da experiência.",ruim
"Gostei muito!",bom
"Foi tudo aceitável.",neutro
"Atendimento ruim demais.",ruim
"Produto maravilhoso!",bom
"Nada fora do comum.",neutro
"Não gostei do preço.",ruim
"Muito bom mesmo.",bom
"Achei o atendimento razoável.",neutro
"Fui mal tratado.",ruim
"Produto de qualidade.",bom
"Serviço aceitável.",neutro
"Não gostei do local.",ruim
"Gostei do serviço.",bom
"Foi tudo tranquilo.",neutro
"A consultoria demonstrou atendimento excepcional, superando todas as expectativas.  1",bom
"A equipe apresentou suporte incrível durante a implantação do software.  2",bom
"O treinamento foi esclarecedor e ajudou na compreensão dos processos.  3",bom
"A equipe foi muito dedicada e atenciosa em todas as etapas do projeto.  4",bom
"A solução proposta se mostrou inovadora e adaptada às necessidades do cliente.  5",bom
"O serviço foi ágil e proporcionou resultados rápidos.  6",bom
"A metodologia utilizada mostrou-se eficiente, otimizando os processos.  7",bom
"Os resultados foram impressionantes e contribuíram para o crescimento do negócio.  8",bom
"A abordagem profissional conquistou a confiança dos clientes.  9",bom
"O suporte proativo auxiliou na resolução rápida dos problemas.  10",bom
"A consultoria demonstrou atendimento excepcional, agregando valor ao negócio.  11",bom
"A equipe apresentou suporte incrível que facilitou a integração do sistema.  12",bom
"O treinamento foi esclarecedor e possibilitou novos aprendizados.  13",bom
"A dedicação da equipe foi fundamental para o sucesso do projeto.  14",bom
"A solução inovadora permitiu uma abordagem diferenciada no mercado.  15",bom
"O serviço ágil garantiu uma rápida implementação das melhorias.  16",bom
"A metodologia eficiente trouxe resultados consistentes e positivos.  17",bom
"Os resultados impressionantes evidenciaram a qualidade do trabalho.  18",bom
"A abordagem profissional garantiu uma relação de confiança.  19",bom
"O suporte proativo foi decisivo na prevenção de problemas.  20",bom
"A consultoria apresentou um atendimento excepcional desde o primeiro contato.  21",bom
"O suporte incrível ajudou a superar desafios técnicos.  22",bom
"O treinamento bem estruturado facilitou a absorção de conteúdo.  23",bom
"A equipe extremamente dedicada garantiu a excelência do projeto.  24",bom
"A solução inovadora se adaptou perfeitamente às demandas do cliente.  25",bom
"O serviço ágil otimizou os prazos de entrega.  26",bom
"A metodologia eficiente reduziu custos e aumentou a produtividade.  27",bom
"Os impressionantes resultados reforçaram a credibilidade da consultoria.  28",bom
"A abordagem profissional se refletiu em cada etapa do processo.  29",bom
"O suporte proativo eliminou gargalos operacionais.  30",bom
"A consultoria demonstrou atendimento excepcional com soluções criativas.  31",bom
"O suporte incrível proporcionou um ambiente colaborativo.  32",bom
"O treinamento esclarecedor motivou a equipe a inovar.  33",bom
"A equipe dedicada garantiu um projeto bem-sucedido e sem transtornos.  34",bom
"A solução inovadora destacou-se pela robustez e adaptabilidade.  35",bom
"O serviço ágil atendeu a todas as demandas em tempo recorde.  36",bom
"A metodologia eficiente estabeleceu uma nova referência de produtividade.  37",bom
"Os resultados impressionantes evidenciaram a eficácia das estratégias.  38",bom
"A abordagem profissional impulsionou a confiança dos stakeholders.  39",bom
"O suporte proativo previne problemas futuros com acurácia.  40",bom
"A consultoria demonstrou atendimento excepcional em cenários de alta pressão.  41",bom
"O suporte incrível foi determinante para uma rápida transformação digital.  42",bom
"O treinamento foi esclarecedor, abordando temas de alta relevância.  43",bom
